id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
995,Stagecoach,1939-03-03,531374,1103757,35,64,54,8,37,2,2,7,4,3,3,0,2,8,0,4,0
309625,Winter Carnival,1939-07-28,412640,474286,11,40,22,10,19,2,3,1,1,1,2,0,0,0,0,1,0
630,The Wizard of Oz,1939-08-15,2777000,33754967,22,16,27,7,4,1,5,1,4,1,5,0,3,1,0,1,0
22490,The Women,1939-09-01,1688000,2270000,28,118,22,76,48,1,3,8,1,2,5,0,3,4,0,1,0
1859,Ninotchka,1939-10-06,1365000,2279000,15,54,40,13,16,1,2,1,2,1,4,0,1,0,0,3,0
3083,Mr. Smith Goes to Washington,1939-10-19,1500000,9600000,31,213,150,21,73,2,3,6,1,4,2,1,6,4,0,2,0
770,Gone with the Wind,1939-12-15,4000000,400176459,54,133,93,42,52,4,5,6,7,5,6,1,8,6,2,4,0
31685,The Hunchback of Notre Dame,1939-12-29,1800000,6877900,15,72,56,10,21,2,2,2,1,1,3,0,2,1,0,1,0
10895,Pinocchio,1940-02-23,2600000,84300000,75,13,55,2,31,0,14,2,1,2,14,37,0,5,0,0,0
37956,The House Across the Bay,1940-03-01,713965,684374,7,73,42,15,23,1,0,1,1,1,2,0,0,0,0,1,0
223,Rebecca,1940-03-23,1288000,6000000,38,25,43,6,14,2,2,11,1,3,5,1,2,7,0,4,0
26201,The Sea Hawk,1940-08-10,1700000,2000000,10,57,57,4,6,0,1,1,2,1,3,0,1,0,0,1,0
55604,Boom Town,1940-08-30,2000000,9172000,38,74,82,13,17,2,5,5,1,3,2,0,4,11,0,5,0
914,The Great Dictator,1940-10-15,2000000,11000000,23,59,57,3,22,1,2,6,3,2,1,1,2,3,0,2,0
756,Fantasia,1940-11-13,2280000,83320000,37,4,34,0,7,1,0,13,2,12,2,6,0,1,0,0,0
28423,The Invisible Woman,1940-12-27,269062,659600,22,23,29,10,6,2,3,4,1,2,5,2,1,1,0,1,0
15,Citizen Kane,1941-04-17,839727,23217674,38,151,95,16,78,4,3,3,7,3,5,0,5,3,1,4,0
86604,Tom± Dick and Harry,1941-06-13,806000,1628000,15,39,27,9,18,1,2,1,1,2,2,0,2,2,0,2,0
16442,Sergeant York,1941-07-02,1400000,16361885,40,97,100,6,31,2,3,4,4,4,6,0,4,9,0,4,0
963,The Maltese Falcon,1941-10-18,375000,1772000,23,22,36,3,6,1,1,4,3,3,4,0,4,0,0,3,0
11360,Dumbo,1941-10-22,812000,1600000,18,14,18,2,12,0,1,2,1,6,5,3,0,0,0,0,0
43266,How Green Was My Valley,1941-10-28,1250000,6000000,14,20,24,6,4,1,3,3,1,1,2,0,2,0,0,1,0
11462,Suspicion,1941-11-14,1103000,4500000,17,39,35,10,11,1,3,2,1,2,4,0,2,1,0,1,0
182303,The Bashful Bachelor,1942-03-19,165000,675000,4,4,6,1,1,0,0,0,0,1,3,0,0,0,0,0,0
16703,This Gun for Hire,1942-04-24,512423,1000000,26,66,60,13,19,1,2,7,2,2,3,0,3,5,0,1,0
65546,Grand Central Murder,1942-05-01,250000,515000,16,35,37,4,10,1,3,3,2,2,2,0,2,0,0,1,0
27367,Mrs. Miniver,1942-07-03,1344000,13500000,22,22,34,5,5,1,3,4,2,1,5,0,3,2,0,1,0
28426,Invisible Agent,1942-08-07,322000,1040000,13,13,23,2,1,1,2,1,2,1,2,2,1,0,0,1,0
3170,Bambi,1942-08-14,858000,267447150,58,14,48,3,21,0,18,5,1,7,7,15,0,5,0,0,0
27017,For Me and My Gal,1942-10-21,802000,4371000,13,7,15,2,3,1,2,1,1,1,4,0,2,0,0,1,0
289,Casablanca,1942-11-26,878000,10462500,33,105,88,11,39,1,3,6,3,2,5,0,3,8,0,2,0
25508,Cat People,1942-12-05,134000,4000000,24,21,25,11,9,1,4,5,1,3,1,1,2,4,0,2,0
98493,Hitler's Children,1943-01-06,205000,3355000,13,10,18,3,2,1,4,1,1,1,1,0,2,1,0,1,0
59964,Cabin in the Sky,1943-04-09,662141,1606624,15,60,27,13,35,1,2,3,2,2,3,0,1,0,0,1,0
60216,Five Graves to Cairo,1943-05-26,855000,1200000,32,25,35,2,20,1,3,4,5,4,3,0,7,2,0,3,0
22779,Victory Through Air Power,1943-07-17,799000,788000,14,2,12,0,4,1,0,3,1,4,2,2,0,1,0,0,0
43306,A Guy Named Joe,1944-03-01,2627000,5363000,19,98,55,9,53,1,2,2,3,3,4,0,1,0,0,3,0
996,Double Indemnity,1944-06-14,927262,2500000,30,30,37,9,14,2,4,5,3,2,3,1,6,1,0,3,0
43546,Bathing Beauty,1944-06-27,2361000,6892000,15,23,18,14,6,1,4,0,1,1,6,0,1,0,0,1,0
84084,Wilson,1944-08-01,2995000,2000000,12,27,30,7,2,1,3,1,2,1,1,0,2,0,0,1,0
1939,Laura,1944-10-11,1020000,2000000,30,43,48,18,7,2,4,7,2,2,5,1,3,1,0,3,0
909,Meet Me in St. Louis,1944-11-28,1707561,7566000,18,15,16,10,7,1,4,2,2,1,3,0,4,0,0,1,0
35849,Hangover Square,1945-02-07,1154000,1798500,18,15,21,4,8,1,3,3,3,1,2,1,3,0,0,1,0
43610,The Valley of Decision,1945-06-01,2160000,9132000,9,20,16,10,3,1,0,1,1,1,3,0,1,0,0,1,0
3309,Mildred Pierce,1945-10-20,1453000,5638000,28,56,40,18,26,1,3,5,2,3,3,1,4,3,0,3,0
4174,Spellbound,1945-11-08,1500000,7000000,9,32,29,5,7,0,2,1,1,1,2,0,0,1,0,1,0
36635,Danger Signal,1945-11-21,471000,1110000,25,18,26,7,10,1,3,7,2,2,3,0,2,3,0,2,0
28580,The Lost Weekend,1945-11-29,1250000,11000000,27,59,56,12,18,2,5,5,3,2,3,2,2,0,0,3,0
17058,Scarlet Street,1945-12-25,1202007,2948386,19,58,53,8,16,1,3,3,2,2,3,1,3,0,0,1,0
292503,The Sailor Takes a Wife,1945-12-28,1012000,2559000,13,7,14,4,2,1,3,1,1,1,3,0,2,1,0,0,0
25736,The Postman Always Rings Twice,1946-05-02,1683000,5086000,16,10,20,4,2,1,3,3,1,2,3,0,2,0,0,1,0
303,Notorious,1946-08-21,2000000,24464742,27,58,57,12,16,1,4,6,2,2,4,0,3,3,0,2,0
44042,Shadow of a Woman,1946-09-14,427000,732000,28,17,28,7,10,2,3,7,2,2,3,2,2,3,0,2,0
44098,Undercurrent,1946-11-11,1644000,4327000,25,60,46,18,21,1,5,5,2,2,2,0,4,3,0,1,0
1585,It's a Wonderful Life,1946-12-20,3180000,9644124,28,107,80,21,34,1,3,5,1,2,4,1,2,5,1,3,0
887,The Best Years of Our Lives,1946-12-25,2100000,23650000,13,28,26,11,4,1,3,2,1,1,2,0,1,0,1,1,0
32275,Duel in the Sun,1946-12-31,6000000,20400000,17,18,28,6,1,0,2,2,1,1,3,1,2,1,0,4,0
87531,The Sea of Grass,1947-04-25,2349000,4689000,10,8,13,4,1,1,0,1,1,1,3,0,1,1,0,1,0
28120,Crossfire,1947-08-15,250000,1300000,13,14,22,2,3,1,4,3,1,1,2,0,0,0,0,1,0
121357,Golden Earrings,1947-08-27,1000000,7000000,5,11,11,4,1,0,0,0,0,1,4,0,0,0,0,0,0
16227,Dark Passage,1947-09-05,1678000,3430000,20,28,36,4,8,1,2,4,2,2,2,0,2,4,0,1,0
33667,Gentleman's Agreement,1947-11-11,2000000,7800000,12,15,19,6,2,0,4,1,1,1,2,0,2,0,0,1,0
